site_id,room_id,x,y,z,stand_x,stand_y,stand_z,expected_front,content_role
undercroft_seal,orientation,-28,-40,120,-28,-40,114,NORTH,corroboration
forgotten_mouth,orientation,28,-40,120,28,-40,114,NORTH,corroboration
rune_rosetta,orientation,0,-40,120,0,-40,114,NORTH,required
bow_marker_01,orientation,-28,-40,142,-28,-40,137,NORTH,tutorial
offering_cairn_01,orientation,0,-40,142,0,-40,137,NORTH,tutorial
kept_light_home_01,orientation,28,-40,142,28,-40,137,NORTH,tutorial
stone_vaun,keeper_vaun,-82,-40,176,-72,-40,176,EAST,required
vaun_hoard_chest,keeper_vaun,-58,-40,168,-54,-40,168,EAST,mechanic
vaun_bookshelf,keeper_vaun,-58,-40,180,-54,-40,180,EAST,mechanic
stone_mara,keeper_mara,82,-40,176,72,-40,176,WEST,required
mara_lectern_1,keeper_mara,42,-40,168,42,-40,172,SOUTH,book
mara_lectern_2,keeper_mara,52,-40,168,52,-40,172,SOUTH,book
mara_lectern_3,keeper_mara,62,-40,168,62,-40,172,SOUTH,book
mara_lectern_4,keeper_mara,72,-40,168,72,-40,172,SOUTH,book
mara_lectern_5,keeper_mara,82,-40,168,82,-40,172,SOUTH,book
mara_route_marker_1,keeper_mara,42,-40,184,42,-40,180,NORTH,mechanic
mara_route_marker_2,keeper_mara,54,-40,188,54,-40,184,NORTH,mechanic
mara_route_marker_3,keeper_mara,68,-40,188,68,-40,184,NORTH,mechanic
mara_route_marker_4,keeper_mara,82,-40,184,82,-40,180,NORTH,mechanic
mara_map_marker,keeper_mara,62,-40,184,62,-40,180,NORTH,map
stone_iss,keeper_iss,-82,-40,206,-72,-40,206,EAST,required
the_cold_hearth,keeper_iss,-56,-40,206,-66,-40,206,WEST,contradiction
stone_sella,keeper_sella,82,-40,210,72,-40,210,WEST,required
sella_pool,keeper_sella,62,-40,212,62,-40,206,NORTH,mechanic
sella_anchor,keeper_sella,46,-40,216,46,-40,211,NORTH,mechanic
sella_lectern_1,keeper_sella,42,-40,202,42,-40,206,SOUTH,book
sella_lectern_2,keeper_sella,52,-40,202,52,-40,206,SOUTH,book
sella_lectern_3,keeper_sella,62,-40,202,62,-40,206,SOUTH,book
sella_lectern_4,keeper_sella,72,-40,202,72,-40,206,SOUTH,book
sella_lectern_5,keeper_sella,82,-40,202,82,-40,206,SOUTH,book
stone_brann,keeper_brann,-82,-40,236,-72,-40,236,EAST,required
brann_toll_tower,keeper_brann,-58,-40,230,-66,-40,230,WEST,mechanic
brann_corridor_start,keeper_brann,-88,-40,242,-84,-40,242,EAST,mechanic
brann_corridor_end,keeper_brann,-42,-40,242,-46,-40,242,WEST,mechanic
stone_orin,keeper_orin,84,-40,238,74,-40,238,WEST,required
orin_marker_1,keeper_orin,42,-40,232,42,-40,236,SOUTH,mechanic
orin_marker_2,keeper_orin,54,-40,232,54,-40,236,SOUTH,mechanic
orin_marker_3,keeper_orin,66,-40,232,66,-40,236,SOUTH,mechanic
orin_marker_4,keeper_orin,42,-40,240,42,-40,236,NORTH,mechanic
orin_marker_5,keeper_orin,54,-40,240,54,-40,236,NORTH,mechanic
orin_marker_6,keeper_orin,66,-40,240,66,-40,236,NORTH,mechanic
orin_frame_dial_1,keeper_orin,42,-39,245,42,-40,241,NORTH,mechanic
orin_frame_dial_2,keeper_orin,50,-39,245,50,-40,241,NORTH,mechanic
orin_frame_dial_3,keeper_orin,58,-39,245,58,-40,241,NORTH,mechanic
orin_frame_dial_4,keeper_orin,66,-39,245,66,-40,241,NORTH,mechanic
orin_frame_dial_5,keeper_orin,74,-39,245,74,-40,241,NORTH,mechanic
orin_frame_dial_6,keeper_orin,82,-39,245,82,-40,240,NORTH,mechanic
school_stand,archive_school,-73,-68,126,-56,-68,126,EAST,evidence
markers_row,archive_markers,-73,-68,158,-55,-68,158,EAST,evidence
cistern_7,archive_cistern,-73,-68,191,-55,-68,191,EAST,evidence
watch_floor,archive_watch,-73,-68,226,-56,-68,226,EAST,evidence
set_apart_shelf,archive_shelf,-73,-68,258,-56,-68,258,EAST,evidence
the_far_water,archive_water,-73,-68,287,-52,-68,287,EAST,evidence
deep_market,archive_market,73,-68,126,52,-68,126,WEST,evidence
ration_table,archive_ration,73,-68,158,57,-68,158,WEST,evidence
third_bay_breach,archive_breach,73,-68,191,54,-68,191,WEST,evidence
warm_town_collapse,archive_warm,75,-68,226,54,-68,226,WEST,evidence
dead_stall,archive_stall,73,-68,258,60,-68,258,WEST,evidence
deep_bird_coops,archive_coops,73,-68,287,58,-68,287,WEST,evidence
lampworks_stair,puzzle_works,0,-68,70,0,-68,46,NORTH,mechanic
third_lamp_stand,puzzle_works,-24,-68,84,-24,-68,79,NORTH,mechanic
painted_line,puzzle_works,0,-68,92,0,-68,86,NORTH,mechanic
