node_id,owner,handler,site_id,completion_flag,replay_policy
LS01,website,route_receipt,copperline_traces,v5_ls01_traces,idempotent
LS02,website,answer_resolver,copperline_service_1842,v5_ls02_service_1842,idempotent
LS03,website,route_receipt,copperline_directory,v5_ls03_directory_trail,idempotent
LS04,website,world_download,copperline_world_backup,v5_ls04_map_handoff,idempotent
LS06,plugin,tagged_deposit,forgotten_mouth,v5_ls06_relay,return_wrong_and_idempotent
LS05,discord,identity_link,discord_link,v5_case_c01_complete,idempotent
LC01,plugin,item_frame_overlay,orientation_register,v5_lc01_phases,idempotent_state_match
LC02,plugin,answer_sign,offering_cairn_01,v5_lc02_rations,oracle_idempotent
LC03,plugin,source_inspection,orientation_register,v5_lc03_daily_life,idempotent_receipt
LC04,plugin,answer_sign,rune_rosetta,v5_lc04_safety_script,oracle_idempotent
LC05,discord,answer_resolver,discord_answer,v5_lc05_motive,idempotent
LC06,plugin,frame_and_tagged_lever,undercroft_seal,v5_case_c02_complete,idempotent_state_match
KV01,plugin,container_inspection,vaun_hoard_chest,v5_kv01_audit,idempotent_receipt
KV02,plugin,tagged_container_sort,vaun_hoard_chest,v5_kv02_sort,return_wrong_and_idempotent
KV03,plugin,answer_sign,stone_vaun,v5_kv03_affidavit,oracle_and_artifact_idempotent
KM01,plugin,lectern_page_comparison,mara_lectern_1,v5_km01_editions,idempotent_state_match
KM02,plugin,answer_sign,stone_mara,v5_km02_extraction,oracle_idempotent
KM03,plugin,bounded_route,mara_route_marker_1,v5_km03_affidavit,artifact_idempotent
KS01,plugin,reflection_alignment,sella_pool,v5_ks01_bearing,idempotent_state_match
KS02,plugin,item_frame_overlay,sella_anchor,v5_ks02_overlay,idempotent_state_match
KS03,plugin,answer_sign,stone_sella,v5_ks03_affidavit,oracle_and_artifact_idempotent
KO01,plugin,crouched_sightline,orin_marker_1,v5_ko01_marks,idempotent_receipt
KO02,plugin,item_frame_dials,orin_frame_dial_1,v5_ko02_dials,idempotent_state_match
KO03,discord,answer_resolver,discord_answer,v5_ko03_affidavit,artifact_idempotent
KB01,discord,media_answer,discord_answer,v5_kb01_stay_awake,idempotent
KB02,plugin,visual_dial_answer,brann_toll_tower,v5_kb02_toll,oracle_idempotent
KB03,discord,answer_resolver,discord_answer,v5_kb03_affidavit,artifact_idempotent
KI01,plugin,answer_sign,stone_iss,v5_ki01_vigenere,oracle_idempotent
KI02,plugin,tagged_item_inspection,the_cold_hearth,v5_ki02_keepsake,idempotent_receipt
KI03,discord,answer_resolver,discord_answer,v5_ki03_affidavit,artifact_idempotent
CW01,plugin,source_inspection,cistern_7,v5_cw01_complaints,idempotent_receipt
CW02,plugin,tagged_barrel_sort,cistern_7,v5_cw02_samples,return_wrong_and_idempotent
CW03,plugin,item_frame_valves,cistern_7,v5_cw03_valves,idempotent_state_match
