node_id,case_id,ordinal,title,room_id,modality,input_surface,prerequisites,completion_flag,reward,recovery
LS01,C01,1,Three mundane traces,Copperline and village,deduction,none,start,v5_ls01_traces,service docket plus uploader reference plus expired listing,reopen public traces
LS02,C01,2,Service 1842 teaching rung,Copperline,cipher,website answer,v5_ls01_traces,v5_ls02_service_1842,Copperline service page,tiered A1Z26 and rune example
LS03,C01,3,Ordinary Copperline trail,Copperline,web navigation,none,v5_ls02_service_1842,v5_ls03_directory_trail,support ticket plus community archive,reopen indexed pages
LS04,C01,4,Playable Hold handoff,Copperline and local world,offline investigation,world download,v5_ls03_directory_trail,v5_ls04_map_handoff,live server address,redownload immutable playable world
LS06,C01,5,Surface dispatch filing,orientation,document and item filing,tagged key deposit,v5_ls04_map_handoff,v5_ls06_relay,Orientation Key and private coordination route,reissue key and replay private route
LS05,C01,6,Proof-bound identity,Discord,account handoff,Discord command plus in-game /obslink proof,v5_ls06_relay,v5_case_c01_complete,durable handoff receipt,reissue receipt from linked account
LC01,C02,1,Construction phase overlays,orientation,deduction,item-frame overlay,v5_case_c01_complete,v5_lc01_phases,phase ordering,reset overlay frames
LC02,C02,2,Rations population and heat,orientation,forensic comparison,answer sign,v5_lc01_phases,v5_lc02_rations,correct population and heat estimate,restore source ledgers
LC03,C02,3,Ordinary life records,orientation,document synthesis,none,v5_lc02_rations,v5_lc03_daily_life,school market and dwelling receipt,reopen lecterns
LC04,C02,4,Practical safety inscription,orientation,traditional cipher,answer sign,v5_lc03_daily_life,v5_lc04_safety_script,decoded evacuation instruction,show taught script card
LC05,C02,5,Why they dug down,orientation,deduction,Discord answer,v5_lc04_safety_script,v5_lc05_motive,founding motive receipt,tiered evidence matrix hint
LC06,C02,6,Orientation model,orientation,physical configuration,item frames and tagged lever,v5_lc05_motive,v5_case_c02_complete,Survey Seal and G1 open,reset model and reissue seal
KV01,C03,1,Vaun quartermaster audit,keeper_vaun,forensic comparison,container inspection,v5_case_c02_complete,v5_kv01_audit,shortage table,restore exact container slots
KV02,C03,2,Vaun returned-goods sort,keeper_vaun,physical Minecraft,tagged container sort,v5_kv01_audit,v5_kv02_sort,diverted-filter proof,return wrong deposits
KV03,C03,3,Vaun private reconciliation,keeper_vaun,traditional cipher,answer sign,v5_kv02_sort,v5_kv03_affidavit,Vaun sealed affidavit,reissue affidavit from flag
