book_id,node_id,holder_kind,holder_id,mount,expected_front,availability,book_pdc_id,artifact_id
orientation_covered_copy,LS06,locked_lectern,forgotten_mouth,lectern_center,NORTH,visible_when_v5_ls04_map_handoff,orientation_covered_copy,none
orientation_entry_register,LS06,locked_lectern,orientation_register,record_lectern,WEST,visible_when_v5_ls04_map_handoff,orientation_entry_register,none
lc_construction_surveys,LC01,locked_lectern,undercroft_seal,lectern_center,NORTH,visible_when_v5_case_c01_complete,lc_construction_surveys,none
lc_heat_issue,LC02,locked_lectern,offering_cairn_01,lectern_center,NORTH,visible_when_v5_lc01_phases,lc_heat_issue,none
lc_school_day,LC03,locked_lectern,orientation_register,lectern_left,WEST,visible_when_v5_lc02_rations,lc_school_day,none
lc_safety_stave,LC04,locked_lectern,rune_rosetta,lectern_center,NORTH,visible_when_v5_lc03_daily_life,lc_safety_stave,none
lc_founding_minutes,LC05,locked_lectern,kept_light_home_01,lectern_center,NORTH,visible_when_v5_lc04_safety_script,lc_founding_minutes,none
vaun_quartermaster_ledger,KV01,locked_lectern,vaun_hoard_chest,lectern_left,EAST,visible_when_v5_case_c02_complete,vaun_quartermaster_ledger,none
vaun_return_tags,KV02,locked_lectern,vaun_hoard_chest,lectern_right,EAST,visible_when_v5_kv01_audit,vaun_return_tags,none
vaun_sealed_affidavit,KV03,earned_artifact,vaun_bookshelf,player_inventory,NONE,issue_when_v5_kv02_sort,vaun_sealed_affidavit,affidavit_vaun
mara_manual_edition_1,KM01,locked_lectern,mara_lectern_1,existing_lectern,SOUTH,visible_when_v5_case_c02_complete,mara_manual_edition_1,none
mara_manual_edition_2,KM01,locked_lectern,mara_lectern_2,existing_lectern,SOUTH,visible_when_v5_case_c02_complete,mara_manual_edition_2,none
mara_manual_edition_3,KM01,locked_lectern,mara_lectern_3,existing_lectern,SOUTH,visible_when_v5_case_c02_complete,mara_manual_edition_3,none
mara_manual_edition_4,KM01,locked_lectern,mara_lectern_4,existing_lectern,SOUTH,visible_when_v5_case_c02_complete,mara_manual_edition_4,none
mara_manual_edition_5,KM02,locked_lectern,mara_lectern_5,existing_lectern,SOUTH,visible_when_v5_km01_editions,mara_manual_edition_5,none
mara_sealed_affidavit,KM03,earned_artifact,mara_map_marker,player_inventory,NONE,issue_when_v5_km02_extraction,mara_sealed_affidavit,affidavit_mara
sella_shore_copybook,KS01,locked_lectern,sella_lectern_1,existing_lectern,SOUTH,visible_when_v5_case_c02_complete,sella_shore_copybook,none
sella_sample_note,KS03,locked_lectern,sella_lectern_4,existing_lectern,SOUTH,visible_when_v5_ks02_overlay,sella_sample_note,none
sella_sealed_affidavit,KS03,earned_artifact,sella_lectern_5,player_inventory,NONE,issue_when_v5_ks02_overlay,sella_sealed_affidavit,affidavit_sella
orin_tolerance_sheet,KO01,locked_lectern,stone_orin,lectern_left,WEST,visible_when_v5_case_c02_complete,orin_tolerance_sheet,none
orin_certificate,KO03,locked_lectern,orin_marker_6,lectern_right,NORTH,visible_when_v5_ko02_dials,orin_certificate,none
orin_sealed_affidavit,KO03,earned_artifact,orin_marker_6,player_inventory,NONE,issue_when_v5_ko02_dials,orin_sealed_affidavit,affidavit_orin
brann_watch_rota,KB02,locked_lectern,brann_toll_tower,lectern_left,WEST,visible_when_v5_kb01_stay_awake,brann_watch_rota,none
brann_time_correction,KB03,locked_lectern,brann_corridor_end,lectern_center,WEST,visible_when_v5_kb02_toll,brann_time_correction,none
brann_sealed_affidavit,KB03,earned_artifact,brann_corridor_end,player_inventory,NONE,issue_when_v5_kb02_toll,brann_sealed_affidavit,affidavit_brann
iss_warm_account,KI01,locked_lectern,stone_iss,lectern_left,EAST,visible_when_v5_case_c02_complete,iss_warm_account,none
iss_keepsake_record,KI02,locked_lectern,the_cold_hearth,lectern_center,WEST,visible_when_v5_ki01_vigenere,iss_keepsake_record,none
iss_sealed_affidavit,KI03,earned_artifact,the_cold_hearth,player_inventory,NONE,issue_when_v5_ki02_keepsake,iss_sealed_affidavit,affidavit_iss
cistern_complaints,CW01,locked_lectern,cistern_7,lectern_left,EAST,visible_when_v5_kv03_affidavit,cistern_complaints,none
cistern_sample_register,CW02,locked_lectern,cistern_7,lectern_center,EAST,visible_when_v5_cw01_complaints,cistern_sample_register,none
cistern_valve_card,CW03,locked_lectern,cistern_7,lectern_right,EAST,visible_when_v5_cw02_samples,cistern_valve_card,none
cistern_shift_roster,CW04,locked_lectern,watch_floor,lectern_center,EAST,visible_when_v5_cw03_valves,cistern_shift_roster,none
cistern_supplier_invoice,CW05,locked_lectern,deep_market,lectern_center,WEST,visible_when_v5_cw04_roster,cistern_supplier_invoice,none
