site_id,node_ids,v5_role,critical_payload
undercroft_seal,LC06,orientation model seal,Survey Seal
forgotten_mouth,LS06,Hold Mouth versus well route proof,Orientation Key
rune_rosetta,LS02;LC04,taught direct script and safety inscription,none
bow_marker_01,KO01,practical crouched-inspection tutorial,none
offering_cairn_01,LC02;CW02;HS02,orientation answer form and tagged return/deposit tutorial,none
kept_light_home_01,HS03,two-state lamp tutorial,none
stone_vaun,KV01,Vaun dossier filing sign,none
vaun_hoard_chest,KV01;KV02,ledger inventory and exact tagged sort,diverted filter proof
vaun_bookshelf,KV03;AR02,Caesar reconciliation and late affidavit index,Vaun Affidavit
stone_mara,KM01,Mara dossier filing sign,none
mara_lectern_1,KM01,manual edition 1,none
mara_lectern_2,KM01,manual edition 2,none
mara_lectern_3,KM01;KM02,verified manual edition 3,none
mara_lectern_4,KM01,forged manual edition 4,none
mara_lectern_5,KM02,margin index,none
mara_route_marker_1,KM03,west route step 1,none
mara_route_marker_2,KM03,west route step 2,none
mara_route_marker_3,KM03,crouched low inspection step,none
mara_route_marker_4,KM03,east route completion,none
mara_map_marker,KM03;AR03,route receipt and late affidavit reader,Mara Affidavit
stone_iss,KI01,Iss dossier filing sign,none
the_cold_hearth,KI02;KI03,PDC keepsake contradiction and corrected account,Iss Affidavit
stone_sella,KS01,Sella dossier filing sign,none
sella_pool,KS01;AR04,Atbash reflection and late affidavit reader,none
sella_anchor,KS02,shoreline overlay alignment,none
sella_lectern_1,KS01,shore copybook part 1,none
sella_lectern_2,KS01,shore copybook part 2,none
sella_lectern_3,KS02,intake map reference,none
sella_lectern_4,KS03,sample note,none
sella_lectern_5,KS03,sealed affidavit,Sella Affidavit
stone_brann,KB01,Brann dossier and required clip handoff,none
brann_toll_tower,KB02,visual toll and three-rail strip,none
brann_corridor_start,KB03,actual watch route start,none
brann_corridor_end,KB03;AR06,timestamp conclusion and late affidavit reader,Brann Affidavit
stone_orin,KO01,Orin dossier filing sign,none
orin_marker_1,KO01,crouched masonry mark 1,none
orin_marker_2,KO01,crouched masonry mark 2,none
orin_marker_3,KO01,crouched masonry mark 3,none
orin_marker_4,KO01,verified bearing mark 4,none
orin_marker_5,KO01,verified bearing mark 5,none
orin_marker_6,KO01;AR05,verified bearing and late affidavit sightline,Orin Affidavit
orin_frame_dial_1,KO02;HS05,compass frame 1,none
orin_frame_dial_2,KO02;HS05,compass frame 2,none
orin_frame_dial_3,KO02;HS05,compass frame 3,none
orin_frame_dial_4,KO02;HS05,compass frame 4,none
orin_frame_dial_5,KO02;HS05,compass frame 5,none
orin_frame_dial_6,KO02;HS05,compass frame 6,none
school_stand,LC03;KS03,ordinary schoolwork and sample provenance,school receipt
markers_row,KO03;BI02,certificate crack-map and fracture chronology,structural receipt
cistern_7,CW01;CW02;CW03;CW08,complaints samples valve model and clearing filing,Cistern Seal
watch_floor,KB02;KB03;CW04,visual watch order and relief roster,watch receipt
set_apart_shelf,KM01;AR03,edition provenance and Mara affidavit reader,none
the_far_water,CW06;CW07;KS02,reeds media handoff and original-filter cache,Filter Cartridge
deep_market,CW05,invoice Polybius market grid,counterfeit proof
ration_table,LC02;KV01,public heat arithmetic and stores corroboration,ration receipt
third_bay_breach,BI01-BI08,Hold-side Break docket and Unlit synthesis,Breach Plate
warm_town_collapse,KI01;KI02;BI06,healed-surface and unsafe-bay contradiction,surface sample
dead_stall,CW05;CW07;HS01,filter stores comparison and earned cartridge claim,Filter Cartridge
deep_bird_coops,BI03,bird-failure chronology,coop receipt
lampworks_stair,HS03,twenty-frame Bacon lamp circuit,none
third_lamp_stand,HS03;HS04,service lamp output and four-shelf pressure register,pressure calibration
painted_line,HS06,bounded pressure walk and service passage,System Key
stone_of_reckoning,HS07,systems synchronization console,Deep Access Plate
case_board,A01;A06;A10,Camp bearing Copperline route and sabotage matrix,Wren case file
prior_camp,A02-A05;A09,four stations barrels notebook overlay Locker 13,Witness Spool
the_threshold,WR04,Rook blocked-route independent proof,Protocol Bridge
threshold_vault,WR05,active-roster Wren reckoning,branch-marked Bridge
keeper_altar,AR02-AR07,six affidavit reader and private fragments,AVERYN fragments
coop_plate,RP04,active-roster collective operation,finale-ready receipt
failed_accepting,A10;WR01,prior failure reconstruction and leaked quotation lead,none
dread_route_start,WR01,mandatory relay evidence entry,none
dread_route_elsewhere,WR01;WR02,quotation comparison and packet index,none
dread_route_figure,WR02;WR03,Witness Spool reader and Wren confrontation,none
dread_route_exit,WR03,confession receipt and safe rejoin,none
unbroken_light,AR01-AR08,spectrogram affidavit extractions and AVERYN synthesis,Averyn identity receipt
the_unwriting,RP01-RP04,release clip configuration name choice and group readiness,release configuration receipt
