room_id,floor_y,real_place,node_ownership,primary_gameplay,route_contract
orientation,-40,entry registry and founding survey office,LS06;LC01-LC06,triangulation model ledgers safety script Survey Seal,Grand Stair to G1 always reversible
keeper_nave,-40,civic inquiry court,C03 hub,six dossier status affidavit returns and case orientation,all six bays visibly return to nave
keeper_vaun,-40,stores and ration office,KV01-KV03,ledger audit tagged sort Caesar affidavit,west bay no dead end
keeper_mara,-40,manual and route office,KM01-KM03,edition comparison book extraction bounded walk affidavit,east bay no dead end
keeper_iss,-40,heat office,KI01-KI03,Vigenere PDC contradiction acrostic affidavit,west bay no dead end
keeper_sella,-40,school and shoreline drafting office,KS01-KS03,reflection overlay sample note affidavit,east bay no dead end
keeper_brann,-40,watch office,KB01-KB03,required footage visual toll rail timestamp affidavit,west bay no sound-only gate
keeper_orin,-40,masonry survey office,KO01-KO03,crouched marks frames crack map affidavit,east bay no dead end
archive_nave,-68,civic archive index,C04-C05 hub,case board status source index and Unlit handoff,both evidence streets form complete loops
archive_school,-68,buried school,LC03;KS01;KS03,ordinary schoolwork reflected copy provenance,west loop returns to nave
archive_markers,-68,survey marker yard,KO01;BI02,physical chronology and crack layers,west loop returns to nave
archive_cistern,-68,pump and cistern gallery,CW01-CW04;CW08,complaints samples valve model roster filing Seal,west loop returns to nave
archive_watch,-68,watch floor,KB02;KB03;CW04,visual toll rota timestamp corroboration,west loop returns to nave
archive_shelf,-68,copy and edition stacks,KM01;AR03,exact protected shelves and provenance,west loop returns to nave
archive_water,-68,far-water intake gallery,CW06;CW07;KS02,reeds footage cache and shoreline alignment,west loop returns to nave
archive_market,-68,deep market,CW05;LC03,invoice Polybius grid and ordinary trade,east loop returns to nave
archive_ration,-68,ration office,LC02;KV01,heat issue and stores reconciliation,east loop returns to nave
archive_breach,-68,third-bay inquest room,BI01-BI08 Hold-side files,Unlit docket maps and synthesis board,east loop returns to nave
archive_warm,-68,heat-shaft collapse exhibit,KI01;KI02;BI06,surface sample and heat-load contradiction,east loop returns to nave
archive_stall,-68,filter stores and service counter,CW05;CW07,original versus counterfeit stock and cartridge claim,east loop returns to nave
archive_coops,-68,warning-bird yard,BI03,feed cage watch chronology and civic witness origin,east loop returns to nave
puzzle_works,-68,water lamp and pressure service works,HS01-HS04,filter housing Bacon lamps bookshelf pressure register,G3 approach never blocks archive loop
lower_works,-96,survey synchronization works,HS05-HS07,dials painted line System Key Deep Access Plate,wide reversible lower stair and G4 approach
lower_spine,-96,threshold convergence corridor,A01;A10,Camp Ash lead case synthesis and route state,main spine remains unobstructed
prior_case,-96,modern investigation case board,A01;A06;A10,relative camp bearing Copperline route sabotage matrix,west branch returns to spine
prior_camp,-96,command-built Camp Ash,A02-A05;A09,four stations barrels notebook overlay Locker 13,clear return to prior case
lower_threshold,-96,Rook blocked route and bridge work,WR04,independent builder proof and Protocol Bridge,branch rejoins before G5
lower_vault,-96,Wren reckoning chamber,WR05,active-roster condemn understand free choice,every branch exits to main spine
dread,-96,Record relay evidence passage,WR01-WR03,quotation match spool reader synchronous confrontation,mandatory bounded route with no maze
accepting,-96,recovered archive and Averyn gallery,AR01-AR08,spectrogram six affidavit extractions AVERYN and Record truth,wide group room before G6
unwriting,-96,release configuration chamber,RP01-RP04,required clip artifact configuration name choice and group rite,linear staging after G6
release,-96,severance and coda chamber,RP05-RP06,durable sever save goodbye kick shutdown and branch coda,same route remains walkable back to Mouth
